Geneid	SRR14267546	SRR14267547	SRR14267548	SRR14267549	SRR14267550	SRR14267551	SRR14267552	SRR14267553	SRR14267554	SRR14267555	SRR14267556	SRR14267557	SRR14267558	SRR14267559	SRR14267560	SRR14267561	SRR14267562	SRR14267563	SRR14267564	SRR14267565	SRR14267566
MIR6726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUSL1	245	169	245	129	160	164	334	114	156	168	142	208	215	287	118	208	78	44	272	256	219
INTS11	1420	1291	1680	825	1684	1561	1283	663	1092	870	1091	1018	1506	1208	816	1020	636	288	1229	1357	1320
MIR6727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL139287.1	28	53	44	26	42	45	44	10	37	25	36	33	25	32	19	18	15	7	47	57	30
CPTP	315	311	379	329	480	260	343	145	285	319	160	339	428	363	167	360	148	56	307	457	492
TAS1R3	2	70	7	11	15	39	4	7	20	20	22	21	30	23	42	25	0	0	0	1	23
DVL1	1215	929	1236	648	1306	898	1449	522	1088	1037	879	1018	1306	1119	721	1055	368	179	1111	1319	1422
MIR6808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MXRA8	6	0	4	0	0	3	0	5	0	6	0	0	1	6	4	22	0	0	0	7	4
AURKAIP1	523	564	713	427	663	649	723	374	426	469	520	562	715	504	758	517	261	97	535	605	758
NDUFB4P8	0	0	0	0	0	3	0	0	1	0	4	0	0	1	0	0	0	0	0	3	0
CCNL2	2393	2554	2777	2057	3324	3135	3472	1475	2931	2547	2226	2526	2804	2235	1409	2544	1106	438	2612	2981	3632
AL391244.1	241	180	302	191	329	201	325	218	146	135	110	125	219	226	145	197	72	33	175	311	286
MRPL20	328	262	527	196	389	400	481	194	209	351	323	296	380	209	150	246	108	41	184	261	430
RN7SL657P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL391244.3	25	5	16	14	30	10	28	6	9	9	12	3	7	14	11	34	20	8	0	20	18
ANKRD65	1098	725	793	443	1123	627	1210	445	506	552	225	1220	901	919	208	779	496	162	998	538	825
AL391244.2	11	3	9	9	19	16	42	7	14	12	6	22	11	10	6	7	8	3	27	13	30
TMEM88B	0	12	0	0	0	0	0	0	0	0	0	7	5	2	0	0	0	0	0	0	0
LINC01770	45	18	40	3	58	41	89	13	40	25	24	33	48	59	16	31	11	15	18	68	43
VWA1	311	670	447	269	482	430	668	228	797	351	521	597	670	549	713	429	207	90	674	1300	1182
ATAD3C	14	38	11	5	47	17	18	12	19	26	28	35	14	27	29	42	9	4	32	48	106
ATAD3B	999	823	583	836	1073	1160	1190	755	859	577	821	839	1118	855	530	994	500	188	920	1367	1046
AL645728.2	0	9	3	4	4	1	8	5	4	2	11	4	2	6	0	0	0	0	0	55	11
ATAD3A	822	373	757	333	704	558	693	375	466	284	368	462	523	480	231	556	311	104	388	528	510
TMEM240	8	0	1	6	4	3	0	1	20	16	11	11	3	34	36	31	1	3	19	18	10
SSU72	899	919	1172	755	1137	1163	1384	599	857	1265	982	1050	920	976	1243	904	429	167	813	755	1386
AL645728.1	35	28	44	10	56	37	84	16	50	39	47	69	26	39	130	13	29	5	17	33	14
AL691432.3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
FNDC10	1	24	19	0	17	21	0	10	22	39	25	34	29	14	20	23	7	1	50	17	58
AL691432.2	145	106	127	61	221	140	221	76	123	148	72	124	114	151	100	155	61	33	80	178	184
MIB2	1069	514	836	594	1378	647	653	263	756	554	726	703	742	756	575	695	561	196	859	686	842
MMP23B	5	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CDK11B	234	431	427	342	364	526	495	188	273	394	373	360	395	377	670	439	146	75	349	458	469
FO704657.1	19	0	3	11	5	19	22	6	2	11	2	4	17	9	33	19	0	0	0	13	4
SLC35E2B	1081	945	1441	774	1210	1234	1252	589	765	948	541	883	840	947	370	853	804	157	724	734	1126
AL691432.1	0	0	0	0	6	4	1	2	0	0	0	0	0	3	0	8	0	0	0	0	1
MMP23A	0	0	2	0	5	0	0	0	4	6	2	2	0	0	0	7	0	0	0	0	3
CDK11A	6	114	58	104	58	155	146	84	39	133	138	70	118	102	154	137	23	15	132	69	62
AL031282.2	76	80	74	53	140	53	88	39	17	150	78	73	37	69	36	114	43	16	19	75	100
AL031282.1	10	3	2	0	6	1	0	4	7	4	3	3	5	4	3	0	5	0	3	15	14
SLC35E2	104	111	90	98	167	104	222	54	47	131	65	80	144	74	28	174	77	31	90	117	72
NADK	1388	1222	1736	2138	1222	2036	1627	943	1383	1815	2716	1182	1553	1264	2328	1347	672	447	1411	2367	1435
GNB1	1617	2081	2959	2074	2369	2924	2071	1326	1362	2480	2868	1974	2320	2026	2351	1229	732	257	1257	1238	2332
AL109917.1	70	31	15	0	19	10	22	1	9	31	14	11	10	4	8	29	7	0	18	6	16
CALML6	0	45	2	0	18	16	21	9	15	18	4	12	20	7	2	19	11	1	16	5	5
TMEM52	139	149	87	32	111	86	92	45	85	69	76	106	80	140	22	107	101	16	131	5	53
CFAP74	4668	2552	4158	2143	4605	2243	2261	1197	1615	1230	1212	2749	2235	3394	378	2985	2663	785	3164	964	1489
AL391845.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GABRD	0	0	0	0	0	0	8	5	0	0	0	0	0	0	0	0	0	0	8	0	0
AL391845.1	0	0	1	2	0	2	9	0	0	0	1	6	1	2	0	1	0	0	0	0	10
PRKCZ	732	898	782	715	1116	616	804	398	581	477	498	569	696	722	428	670	417	134	722	849	647
AL590822.2	0	0	1	0	0	1	11	0	5	9	5	1	0	18	60	7	4	0	2	0	1
PRKCZ-AS1	1	0	10	6	12	3	5	7	10	3	8	9	3	9	0	11	4	0	6	0	2
FAAP20	272	301	398	168	483	339	293	201	270	379	250	369	336	352	281	373	239	72	328	297	299
AL590822.1	0	0	4	4	36	1	8	0	2	0	0	12	1	2	0	0	0	5	0	4	7
SKI	473	1206	1135	602	1059	1487	887	533	645	1375	1194	770	787	884	1215	766	304	138	501	721	1103
MORN1	2573	1346	1956	1271	2607	1263	1749	752	1158	589	765	1647	1180	1579	426	1654	1374	417	1810	1058	1186
AL589739.1	46	0	15	4	26	7	33	0	3	7	1	10	6	14	0	5	6	3	8	5	1
AL513477.1	226	119	317	311	246	165	164	130	135	57	102	143	248	198	24	172	219	72	273	147	68
AL513477.2	12	0	6	4	10	14	13	2	9	3	7	4	7	1	0	7	17	1	22	7	9
RER1	961	970	1379	794	1194	1251	1430	557	953	954	978	848	1246	841	720	703	370	167	751	1067	1246
PEX10	318	284	298	174	326	264	340	102	210	230	137	292	353	214	147	150	163	53	180	270	427
PLCH2	769	509	886	323	1813	2023	1101	380	728	893	497	683	796	852	122	739	280	106	851	1536	828
AL139246.1	0	0	3	1	0	2	0	0	3	1	0	0	0	1	0	9	0	0	0	10	0
AL139246.4	0	0	0	2	0	5	5	5	4	2	4	1	0	10	3	2	0	0	0	0	0
PANK4	292	395	496	261	419	500	354	201	244	354	303	246	339	335	230	471	183	53	344	353	487
HES5	0	0	1	0	8	2	0	0	2	4	0	0	0	15	4	4	0	4	13	1	8
AL139246.5	17	105	96	59	95	173	166	74	31	94	158	67	61	237	254	185	18	3	16	29	40
TNFRSF14-AS1	989	842	1770	1065	962	1138	832	564	672	666	942	298	1011	929	514	826	589	281	1258	745	720
TNFRSF14	2049	1893	2223	1411	1538	2845	2167	1385	1802	2863	1909	1531	2176	1595	3087	1419	735	358	1715	1987	1791
AL139246.2	8	38	23	11	17	48	22	24	34	77	57	15	28	30	340	26	17	10	0	58	38
AL139246.3	13	12	31	14	11	12	7	7	30	12	14	12	9	27	22	28	9	4	34	15	39
FAM213B	344	408	534	271	504	366	486	309	429	429	284	283	573	479	247	271	204	39	493	621	493
MMEL1	48	8	32	21	33	11	60	29	17	28	17	9	36	4	5	20	5	2	27	52	22
AL831784.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TTC34	390	239	579	307	664	237	326	76	165	150	107	243	327	364	87	238	439	118	473	318	303
AC242022.1	211	47	128	54	39	78	48	29	33	66	20	126	41	150	13	320	34	41	159	54	67
AL592464.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL592464.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL589702.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LINC00982	5	0	0	0	5	0	5	0	0	0	4	3	8	0	0	0	0	1	8	0	0
PRDM16	0	0	5	0	18	14	0	4	6	8	12	17	17	0	2	0	7	1	2	0	3
MIR4251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL008733.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0
AL512383.1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL590438.1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
ARHGEF16	1299	709	983	530	818	584	1689	507	1140	685	1283	714	1590	814	650	939	170	173	1231	2627	1008
AL512413.1	0	1	0	0	2	6	0	0	9	2	0	1	10	3	0	1	0	0	0	0	2
MEGF6	165	259	162	139	1271	302	216	43	144	356	132	114	103	256	303	337	172	32	144	244	329
MIR551A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL513320.1	60	31	18	14	21	13	58	11	1	11	7	10	29	24	24	38	77	10	23	25	18
TPRG1L	509	446	704	369	795	608	527	350	436	454	396	605	847	706	514	372	292	75	451	426	651
WRAP73	271	238	376	274	326	426	377	145	238	204	253	193	332	145	132	237	88	44	232	454	305
TP73	2254	1298	1881	1083	2567	1049	1684	533	981	648	455	1567	1552	1818	252	1226	1232	343	1361	389	882
AL136528.1	0	0	1	0	3	0	0	0	4	1	3	1	4	2	0	0	0	0	3	0	4
AL136528.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TP73-AS1	416	257	525	354	654	499	622	237	467	356	387	347	514	349	170	529	222	113	477	527	575
CCDC27	0	0	0	0	0	0	0	0	0	1	1	3	0	32	0	0	0	0	0	0	0
SMIM1	10	0	16	7	10	15	10	7	6	13	7	1	24	10	13	13	1	7	40	5	15
LRRC47	463	586	744	540	909	661	889	440	611	514	385	638	901	665	488	600	328	114	603	664	809
RN7SL574P	0	0	0	1	0	0	0	0	0	2	1	0	0	1	8	0	0	0	8	0	0
AL365330.1	0	0	0	0	3	2	0	0	3	1	2	2	0	3	0	9	0	0	3	0	0
CEP104	1305	875	1514	1054	1464	1064	1277	618	781	722	867	780	999	881	472	798	605	245	1088	928	1067
DFFB	54	78	97	49	103	116	59	40	49	86	72	52	60	26	22	65	16	16	65	143	118
C1orf174	304	174	344	251	289	250	436	126	274	276	211	240	300	163	73	124	99	41	172	373	191
LINC01134	2	4	40	29	61	16	14	19	18	24	17	8	5	14	22	57	31	12	19	27	3
LINC01346	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1
LINC01345	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL805961.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL805961.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
EEF1DP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL355602.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0
Z98747.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
LINC01646	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AJAP1	19	8	58	13	240	34	95	6	70	196	31	414	159	59	767	202	52	39	32	215	195
BX005132.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BX005132.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AL691497.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL139823.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Z98259.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
Z98259.2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	3	0	0	0
Z98259.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
Z97988.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL365255.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MIR4417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
MIR4689	0	0	0	0	5	0	0	0	0	0	2	0	0	7	0	0	0	0	0	0	0
NPHP4	1503	831	1317	1077	1615	1063	1476	617	1103	460	724	1325	1165	1219	528	1020	668	271	1227	684	772
KCNAB2	600	1655	1605	673	772	1483	986	685	476	1675	531	679	652	701	2173	620	287	67	434	239	387
CHD5	10	6	1	5	23	29	7	9	11	6	8	7	3	27	21	4	0	0	13	0	6
RPL22	263	294	466	222	655	645	427	200	253	623	479	358	394	238	251	242	145	50	201	356	590
AL031847.1	4	23	20	15	16	22	32	0	38	33	13	21	11	18	31	20	12	12	25	93	46
RNF207	719	934	732	439	984	864	1135	603	1345	773	763	744	1425	657	344	525	217	274	1150	2107	1354
ICMT	1047	800	1561	731	1137	981	1133	542	616	820	752	911	1324	915	633	762	521	114	748	491	1183
LINC00337	0	17	13	2	0	9	0	0	26	4	4	7	13	1	0	3	0	2	0	4	1
HES3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
GPR153	93	356	175	225	67	104	152	84	151	110	249	125	278	272	321	414	64	27	403	679	420
ACOT7	156	161	232	155	172	224	181	97	172	124	331	218	358	215	118	141	42	20	141	198	176
AL031848.2	0	0	14	9	19	12	10	8	9	14	15	17	27	11	13	13	5	7	0	27	22
HES2	297	255	265	180	315	453	257	155	204	174	161	486	485	305	404	471	120	62	338	298	288
ESPN	1520	881	1207	416	2780	998	1396	317	709	955	236	1982	966	1762	187	1922	876	251	1936	770	1326
MIR4252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL031848.1	0	0	0	0	0	1	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0
TNFRSF25	386	465	724	439	426	498	660	202	449	173	533	271	362	299	117	284	271	129	445	742	345
PLEKHG5	1029	838	1268	1045	1180	708	1544	566	997	440	739	1001	1071	651	401	972	490	269	1345	1746	739
NOL9	401	378	481	311	582	509	487	217	444	427	303	367	552	381	271	416	217	79	283	462	484
RNU6-731P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL591866.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAS1R1	0	6	5	0	0	0	21	0	0	3	0	5	24	16	3	8	0	0	0	0	15
ZBTB48	647	667	759	502	712	769	939	288	470	449	623	519	643	590	304	443	336	123	781	519	491
KLHL21	1072	2060	1402	1418	1355	1805	1767	602	1622	1839	1230	3128	2117	2204	3919	1996	708	365	1676	1840	2433
PHF13	117	216	169	167	208	198	189	119	201	229	156	186	281	533	351	223	77	51	248	206	316
THAP3	84	85	126	86	126	118	118	25	62	88	72	100	90	236	124	77	51	16	99	129	117
DNAJC11	635	604	780	464	720	866	1066	495	730	572	457	642	810	578	367	489	232	103	562	638	811
LINC01672	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
AL591163.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL590128.2	10	3	9	16	16	21	9	5	17	11	20	27	0	7	30	9	3	1	33	17	22
CAMTA1	184	180	187	182	293	320	234	132	187	181	206	222	257	225	271	169	101	30	195	304	252
AL590128.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL512330.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU1-8P	0	0	0	0	0	0	1	0	0	0	2	0	0	0	3	0	0	0	0	0	0
CAMTA1-IT1	0	0	2	0	6	0	0	0	7	0	0	0	4	1	0	0	0	0	0	0	0
Z97987.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL365194.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359881.3	0	11	0	0	5	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL359881.2	0	0	0	0	0	4	22	0	0	7	0	0	1	0	0	0	0	0	0	2	0
AL359881.1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
VAMP3	466	284	510	418	384	574	417	212	333	578	613	418	542	323	347	267	108	55	264	335	555
Z98884.2	9	2	14	8	0	9	10	0	4	11	21	0	5	5	0	1	0	3	0	14	21
PER3	1041	387	582	416	926	730	979	256	1142	1241	238	707	1229	834	237	661	220	277	673	1420	1216
Z98884.1	0	3	1	5	0	0	3	0	1	7	3	0	1	0	0	0	0	0	0	0	0
UTS2	0	0	3	0	20	2	0	3	0	0	4	0	0	1	1	0	0	0	7	0	0
TNFRSF9	8	60	181	102	9	208	36	64	12	26	1160	4	43	34	31	19	1	0	50	12	13
AL009183.1	0	0	0	0	0	5	0	0	0	6	1	0	0	0	6	0	0	0	0	0	9
PARK7	930	660	1122	641	1140	1261	1223	670	646	752	996	970	976	966	680	729	569	114	564	819	966
Y_RNA	734	773	1087	728	981	1300	1240	554	967	850	1054	853	1121	724	858	814	334	181	987	1056	928
AL034417.4	19	23	89	67	22	33	17	11	11	14	40	11	32	31	14	13	0	3	2	36	37
AL034417.3	0	0	0	2	0	2	0	1	23	2	6	12	0	35	4	24	0	1	0	2	3
